London, (15026) Hourly, Nitrogen dioxide (NO2) Concentrations
Station,London (15026)
Address,42 St. Julien St.
Latitude,42.974485
Longitude,-81.200813
Elevation, 244 metres
Air intake height,5 metres
Pollutant,Nitrogen Dioxide (nitrogen dioxide NO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
15026,Nitrogen Dioxide,2020-04-28,2.3,1.3,1.6,1.6,2,2.6,4.3,7.1,4.9,2.2,2,1.9,2.2,2,2,1.5,1.5,1.5,2,2.7,1.7,3,2.8,3.5,
15026,Nitrogen Dioxide,2020-04-29,3.5,3.3,3,2.5,2.5,2.7,2.9,3.2,3.7,3.9,4.2,3.5,3.1,2.5,2.3,2.4,2.1,2.4,2.5,4.4,3.6,1.5,1.7,1.7,
15026,Nitrogen Dioxide,2020-04-30,1.5,1.3,2,1.3,1.9,3.1,4.1,3.2,3.6,2.9,2.2,2.2,2.6,1.8,2.5,2.7,2.8,2.4,2.8,3,3.3,3.8,2.3,2.9,
15026,Nitrogen Dioxide,2020-05-01,2.6,2.2,2.4,2.6,1.9,3.1,4.7,2.8,2.8,3.1,2.1,1.8,1.9,2,1.8,2,1.9,1.6,1.9,1.7,3,5.9,5.5,7.9,
15026,Nitrogen Dioxide,2020-05-02,11.4,9.5,9.9,15.6,15.5,13.2,4.5,2.5,2.1,1.4,1.3,1.4,1.7,1.5,1.3,1.3,1.4,1.7,1.8,2.3,3.7,4.7,4,6.5,
15026,Nitrogen Dioxide,2020-05-03,4.8,5.6,7.3,5.9,8.9,10.3,4.6,3.4,2.2,2.2,2.4,1.4,0.9,0.9,0.9,1.2,1.3,1.6,1.8,3.2,2.6,1.7,2.2,3.2,
15026,Nitrogen Dioxide,2020-05-04,2.9,0.9,2.1,9999,1.6,2,1.4,1.4,1.3,1.6,1.8,1.5,1,1.1,1.2,1.3,1.1,1.2,1.3,2.3,4.3,6.1,7.5,6.6,
15026,Nitrogen Dioxide,2020-05-05,6.6,7.6,9.5,10.7,14,15.2,11.9,3.5,2.6,2.1,2.4,2.2,2.6,1.9,1.7,1.8,2,2.4,2.9,4.8,4.1,4.3,7,9,
15026,Nitrogen Dioxide,2020-05-06,4.6,3.2,5.4,3.6,3.9,5.3,5.4,4.2,4.5,2.9,1.3,1,1.2,1.3,1.3,1.6,1.4,1.4,2.4,4.1,5.2,4.8,4.4,6.3,
15026,Nitrogen Dioxide,2020-05-07,5,7,9.3,12.4,13.8,13.6,15.7,15,12.1,7.8,3.3,2.3,3.1,2.3,1.3,0.9,0.7,0.8,1.3,1.6,1.7,1.1,2.2,3.7,
15026,Nitrogen Dioxide,2020-05-08,3.2,5.4,2.5,7.3,4.9,5.2,3.3,2.6,2,1.5,0.9,0.7,0.8,0.6,0.4,0.4,0.4,0.6,0.9,1.6,3.4,2.3,2.9,1.7,
15026,Nitrogen Dioxide,2020-05-09,2.7,1.8,2.8,2.5,2.3,2.1,2.6,1.2,1.1,0.6,0.6,0.6,0.6,0.5,0.7,0.6,1.1,1.2,1.6,3.7,5.5,6.3,4.4,7.9,
15026,Nitrogen Dioxide,2020-05-10,4.8,5.1,2.9,3.7,4.7,4.9,5.4,4.7,2.9,2.8,2.4,1.9,1.6,1.9,2.4,1.9,1.6,1.6,2,2.1,2.4,3.5,1.4,1.7,
15026,Nitrogen Dioxide,2020-05-11,1.4,4.8,4.5,9999,2.6,2.8,3.5,4.8,7.8,4.1,2.6,1.5,0.8,0.6,1,0.9,1,1.2,1.2,2.3,3.4,5.6,2.8,3.7,
15026,Nitrogen Dioxide,2020-05-12,6.3,5,8.8,8.3,7.4,5.5,7.3,6.5,2.7,1.1,1,1.2,1.3,2,1.7,1.3,1.3,1.2,1.7,2.4,3.3,4.5,8.9,13.2,
15026,Nitrogen Dioxide,2020-05-13,20.3,12.7,12.9,18.7,22.5,19.2,17.2,9,2.6,1.3,1,1.2,1.3,1.5,1.4,1.1,1.4,1.4,2.6,3.2,4.1,4.4,4.9,5.1,
15026,Nitrogen Dioxide,2020-05-14,5.8,5.8,6.6,5.2,2.7,2.6,4,5.1,4.1,3.6,4.7,4.9,7,5.9,6.5,5.1,5.3,6.3,6.3,4.6,3.5,2.9,4.9,5.4,
15026,Nitrogen Dioxide,2020-05-15,4.7,2.9,2.7,2,2.5,3.3,7.3,11,4.9,2.3,2.4,1.7,3.1,3.4,2.2,2.2,1.7,1.3,1.5,3.1,6.1,5.1,5.8,7.7,
15026,Nitrogen Dioxide,2020-05-16,6.1,6.9,5.7,7.5,6.7,5.9,6.2,2.6,2.5,4,2,1.7,1.7,1.6,1.6,1.8,1.7,1.8,2.4,3.2,3.7,7.3,5.6,4.7,
15026,Nitrogen Dioxide,2020-05-17,4.6,5.2,4,2.6,3,3,2.8,2.2,2.4,2.8,2.5,2.1,2.6,2.8,2.5,2.2,1.4,1.3,1.7,1.8,1.9,2.1,2.5,1.7,
15026,Nitrogen Dioxide,2020-05-18,1.4,1.2,1.1,9999,1.4,1.7,1.6,1.9,2.2,2.6,2.7,3,2.5,1.8,1.6,1.7,1.4,1.3,1.7,1.5,1.3,1.1,1.2,1.7,
15026,Nitrogen Dioxide,2020-05-19,1.4,1.4,1.5,1.1,1.9,2.7,3.7,4.7,3.8,3.7,3.9,3.3,3.2,3.5,2.6,2.6,2.4,2.6,3.4,3.8,3.5,3.2,4,1.9,
15026,Nitrogen Dioxide,2020-05-20,1.7,2.6,3,3.3,3.9,5.8,5.4,2.1,1.3,1.2,1,1.1,1.2,1.1,1.2,1,1,1.5,2.6,3,3.3,5,4.4,5.1,
15026,Nitrogen Dioxide,2020-05-21,5.2,4.5,3.4,3.5,8.4,8.9,8.9,2.3,1.9,1.9,2.1,1.9,2,2.2,1.5,1.4,1.4,1.4,1.5,3.3,8,6.7,13.2,10.3,
15026,Nitrogen Dioxide,2020-05-22,10.1,10.3,6.2,5,6,7.8,10.9,7.8,3.5,3.3,3.6,3.3,3.1,2,4,3.2,3.3,2.6,2,3,4.9,5.9,6.3,5.7,
15026,Nitrogen Dioxide,2020-05-23,8.2,9.3,8.8,7.4,6.9,9,4.8,3.2,2.5,2.8,2.4,2.1,1.5,1.6,1.5,2,1.7,2,1.3,2.7,4.6,4.4,5.1,3.9,
15026,Nitrogen Dioxide,2020-05-24,3.2,2.8,2.3,1.7,1.7,1.7,1.8,2,2,2.6,2.1,2.2,2.1,2.2,1.6,0.9,0.8,1,1,1.5,1.6,1.3,1.3,1.3,
15026,Nitrogen Dioxide,2020-05-25,1.7,2.6,2.1,9999,8.1,7.7,7.8,15.5,9.9,6.7,3.8,3.5,4.8,3.1,2.1,1,0.7,0.5,0.9,1.9,3.2,2.1,2,3.5,
15026,Nitrogen Dioxide,2020-05-26,3.9,4.6,4.9,5.7,7.3,8.3,11.8,9.7,8.7,4.4,4.6,3.4,2.2,1.5,1.2,1.2,0.8,0.8,1.2,2.6,6.5,6.1,6.9,10.1,
15026,Nitrogen Dioxide,2020-05-27,12.1,5.2,5.4,6.8,5.5,6.2,5.6,5.3,5.1,3.3,4.7,3.2,2.4,2.3,2.1,2.1,1.6,1.2,2.2,3.3,6.3,6.9,5.8,3.9,
15026,Nitrogen Dioxide,2020-05-28,3.3,3.8,4,3.5,4.1,3.7,3.8,3.3,3.6,3.5,3.1,2.9,2.4,1.6,3.2,1.7,1,0.8,1.6,3,2.3,5.1,1.8,1.3,
15026,Nitrogen Dioxide,2020-05-29,1.5,2,1.9,3.3,2.2,3.8,4.2,3.8,3.6,4.3,3,2.1,2,1.5,1.9,1.4,0.9,1,1,2,2.2,1.3,1.4,2.3,
15026,Nitrogen Dioxide,2020-05-30,3.4,3.2,4.2,5,4,3.4,2.5,1.5,1.7,1.5,1,1.1,1.5,1.2,1.2,1.1,1,1.8,1.5,2.5,4.4,5.5,3.1,3.2,
15026,Nitrogen Dioxide,2020-05-31,2.8,2.4,3.5,2.4,2.5,3.7,1.9,0.6,0.7,0.7,1,0.9,0.9,0.8,0.8,0.8,0.7,0.8,0.7,1.1,3.4,3.5,3.7,6.5,
15026,Nitrogen Dioxide,2020-06-01,4.2,2.2,2.3,9999,3.1,3.7,6.5,4.6,3.6,1.8,1.5,1,0.9,1.2,0.9,1,1.4,1.5,1.7,2.5,2.8,3.4,2.5,3.9,
15026,Nitrogen Dioxide,2020-06-02,2.9,2.6,2.3,3.3,2.6,3,4.6,6.1,3.9,3.1,3.2,2.6,2.5,2.6,2.7,3,3.4,2.5,2.5,4,7.7,7.7,3.9,2.5,
15026,Nitrogen Dioxide,2020-06-03,1.8,1.9,3.2,3.4,2.2,2.3,2.9,2.3,1.8,1.9,2.1,1.6,1.7,1.7,1.6,1.4,1.5,1.1,1.6,2.5,3.4,4.9,10.4,14.4,
15026,Nitrogen Dioxide,2020-06-04,10.3,11.5,11.2,9.6,6.4,5.2,4.9,6.5,4.1,4,2.4,2.1,2.6,2.4,2.7,3.1,2.4,2.1,2.4,2.8,2.6,2.8,3.3,5.4,
15026,Nitrogen Dioxide,2020-06-05,4.4,2.9,2.6,3.7,3.7,7.4,14.4,11.9,4.4,5.1,5.1,3.4,2.7,3.4,2.2,1.8,2,2.6,2.9,4,6.2,6.6,5.9,2.6,
15026,Nitrogen Dioxide,2020-06-06,3,5.4,3,1.6,6,5.7,3.1,1.8,1.8,1.2,1.3,1,1,1.1,1,0.8,0.8,0.7,0.8,1.2,2.5,2.6,3.3,2.9,
15026,Nitrogen Dioxide,2020-06-07,3.7,2,3.8,3,3.4,4.3,2.7,1.8,1.4,1.1,0.8,0.8,0.6,0.6,0.7,0.8,0.6,0.6,0.8,1.4,2.1,3.8,3.8,2.7,
15026,Nitrogen Dioxide,2020-06-08,2.4,5,7,9999,5.5,4.7,6.4,5.4,4.3,2.4,2.2,1.6,2.2,2.1,2,2,1.9,1.6,1.6,2.7,4.1,2.6,3.1,2.4,
15026,Nitrogen Dioxide,2020-06-09,4.9,3.3,3.6,5,5,6.1,9.2,10.1,5.6,3.1,3.1,3.5,3,2.5,2.4,1.8,1.2,1.4,3.4,4.4,4,2.7,2.1,1.9,
15026,Nitrogen Dioxide,2020-06-10,2.1,9999,2.1,6.8,7.8,5.8,2.8,2.1,2,1.9,2.2,1.9,1.8,1.8,1.5,1.4,1.2,1.3,2.4,1.5,0.9,2,0.6,0.8,
15026,Nitrogen Dioxide,2020-06-11,2.8,2.8,2.1,1.1,0.6,0.7,0.8,1.1,1,1.2,1.2,1.2,1.3,1.1,1.1,1.3,1.3,1.6,1.6,2,4.4,4.5,3.2,1.9,
15026,Nitrogen Dioxide,2020-06-12,3.2,3.3,2.4,1.8,2.9,2.2,1.8,1.7,1.5,1.6,1.7,1.6,1.4,1.6,1.4,1.1,1,0.8,1.2,2,3.4,3.2,3.2,3.1,
15026,Nitrogen Dioxide,2020-06-13,2.1,3.4,3.2,4.8,2.2,2.3,2.4,1.6,1.1,0.9,0.7,0.7,0.8,0.8,0.7,0.6,0.5,0.4,1,3.1,3.4,5.7,4.3,4.4,
15026,Nitrogen Dioxide,2020-06-14,3.7,3.3,2.8,3.2,3.2,3.1,4,2.5,0.8,0.6,0.8,1,1.2,0.9,0.6,0.5,0.5,0.7,0.8,0.8,1.9,2.7,2.8,3.5,
15026,Nitrogen Dioxide,2020-06-15,3.6,2.5,3.4,9999,3,3.7,4,2.9,2.1,1.6,1.8,1.7,1.4,1.4,1.3,1.1,1.1,1.1,1.2,2.1,2.6,3.7,3.6,6.1,
15026,Nitrogen Dioxide,2020-06-16,5.5,4,3.8,4.7,4.6,5.3,9.4,9.8,5.4,4,2.2,1.7,1.4,1.5,1.8,1.7,1.6,1.6,1.7,3,3.3,6.9,7.6,9.5,
15026,Nitrogen Dioxide,2020-06-17,7.7,7.4,8.2,8.5,7.8,6.3,9.6,11.5,6,4,4.3,4,2.7,1.9,2.4,2.6,2.4,2.2,2.2,2.6,5.1,13,10.9,11.1,
15026,Nitrogen Dioxide,2020-06-18,9,7.8,6.7,7.5,7.5,7.4,10,10.4,8.5,5.4,3.2,2.5,1.9,2.1,1.9,1.7,1.3,1.9,1.7,2.5,3.6,6.3,8.4,6.5,
15026,Nitrogen Dioxide,2020-06-19,8.7,8.3,8.4,8.2,9.1,10.6,10.3,14.6,11.3,6.1,4.8,3.1,2,2.6,1.8,1.8,2,4.2,3.9,3.5,3.7,3.2,5.8,8.9,
15026,Nitrogen Dioxide,2020-06-20,7.1,6.5,5.1,6.2,5.4,3.5,4.5,9.6,8.5,3.1,2.3,1.6,1.2,1.3,1.1,0.9,1,1.2,1.1,2.2,3.1,5.8,5.4,4.6,
15026,Nitrogen Dioxide,2020-06-21,4.2,3.1,3,2.4,2.8,2.8,2.5,3.9,4.6,2.5,2.3,2.4,2.1,1.6,1.7,1.6,1.4,1.6,1.5,2.1,4.2,6.6,3.8,2.8,
15026,Nitrogen Dioxide,2020-06-22,4,3.5,2.6,9999,3.6,4.9,9.8,11.4,7.2,7.2,5.8,4.4,4.5,3.6,3.4,2.6,2.8,2.1,0.8,1,2.2,2.4,3.7,1.4,
15026,Nitrogen Dioxide,2020-06-23,0.9,6.2,6.1,3.4,3.9,3.9,10.9,10.3,10.6,13.3,4.4,3.8,5.1,2,1.5,1.7,1.7,2.3,1.4,0.7,0.6,0.3,0.7,0.9,
15026,Nitrogen Dioxide,2020-06-24,0.2,0.9,1.1,1.3,1.3,1.9,1.7,1.6,1.4,1.2,1,0.9,0.9,1,0.9,1,1.1,1.3,1.6,2.4,3.8,5.6,8.3,5.8,
15026,Nitrogen Dioxide,2020-06-25,5.5,4.9,5.1,5.1,6.9,4.4,7.9,9.7,5.3,3.3,1.9,1.9,1.7,1.6,2.2,1.9,2,1.4,1,2.3,1.9,5.6,8.7,9.9,
15026,Nitrogen Dioxide,2020-06-26,5.9,2.9,4.3,6.3,4.3,5,9.4,6.4,4,3.1,1.9,1.5,0.9,1.1,1,1.2,2,1.9,1.7,2.4,3.2,3.9,2.8,2.1,
15026,Nitrogen Dioxide,2020-06-27,1.9,1.7,2.4,1.3,0.8,0.7,0.9,1.6,1.7,1.2,1.4,1.1,1.4,1.4,1,1.2,1.4,1.3,1.5,3.1,3,3.4,2.9,2.9,
15026,Nitrogen Dioxide,2020-06-28,2,1.6,1.6,1,0.9,0.8,1.5,1.1,1.2,1.1,1.1,0.9,0.8,0.7,0.9,1,0.9,0.5,0.9,1.4,3.7,3.2,3.3,4.5,
15026,Nitrogen Dioxide,2020-06-29,5.2,4.4,4.4,9999,4.6,3.6,5.5,3.8,3.6,2.8,2.3,1.5,0.9,0.8,0.8,1,2,1,0.8,1,3.1,3.1,3.9,3.2,
15026,Nitrogen Dioxide,2020-06-30,3.1,3.4,3.9,7,7.6,5.1,5.7,6,4.2,2.8,2.5,2,1.8,1.5,1.2,1.1,1.1,0.8,1,2.7,3.3,4.4,5,4.3,
15026,Nitrogen Dioxide,2020-07-01,6.7,5,4.1,5,6.7,5.7,4.6,4.2,2.2,1.9,0.9,0.8,0.7,0.7,0.7,1.6,1.6,1.4,1.4,2,2.6,3.8,6.4,6.8,
15026,Nitrogen Dioxide,2020-07-02,7.5,5.2,4.6,4.4,4.6,3,6,4.6,2,1.2,1.1,0.8,0.8,0.8,0.8,0.7,0.5,0.6,0.6,1.3,2.3,2.4,4.4,6.3,
15026,Nitrogen Dioxide,2020-07-03,8.9,7.2,5.6,4.7,5.1,5.4,5.1,3.4,1.7,1.6,1.4,1,0.8,0.9,0.9,0.8,0.9,0.7,0.6,0.8,2.1,7.2,3.3,2.6,
15026,Nitrogen Dioxide,2020-07-04,3.8,2.4,3.7,4.9,4.2,2.4,1.7,1.4,0.8,0.5,0.4,0.2,0.2,0.4,0.5,0.4,0.2,0.5,0.9,1.3,2.7,4,2.8,2.6,
15026,Nitrogen Dioxide,2020-07-05,2.6,2,2.2,2.9,2.5,2.5,2.9,4.6,4.4,4.2,2,0.8,0.7,0.6,0.6,0.4,0.5,0.8,0.7,2.4,4.7,4.3,5.5,5.5,
15026,Nitrogen Dioxide,2020-07-06,9.1,6.3,6.9,9999,6.1,7.3,10.7,11.6,6.3,6,3,1.9,1.3,1.1,1.2,1.2,1.6,1.7,1.4,2.2,3.2,6.5,7.4,6.2,
15026,Nitrogen Dioxide,2020-07-07,5.3,3.9,4.9,4.2,5,7.6,10.6,9.9,7.5,2.6,2.3,2,1.7,1.3,0.9,0.8,0.9,0.7,1.1,1.4,3.4,3.1,2.4,3.4,
15026,Nitrogen Dioxide,2020-07-08,2.7,3.4,3.1,5.1,5.8,15.6,9.8,4.9,5.5,3.8,2.6,2.2,1.8,1.4,2,1.5,2.4,3,3.7,5.6,8,7.6,9.7,10.8,
15026,Nitrogen Dioxide,2020-07-09,8,7.4,7.6,7.1,7.6,7.2,9.3,8.4,7,2.6,1.9,1.3,1.4,1.6,1.5,1.3,1.3,1.2,1.5,2.3,4.4,7.5,7.9,6.7,
15026,Nitrogen Dioxide,2020-07-10,5.6,4.3,2.1,2.4,2.8,3.7,4.7,3.4,3.6,3.6,2.1,1.6,1.3,1.3,1.2,1.1,1.4,1.6,2.8,3.3,4.7,5.6,4.7,5.4,
15026,Nitrogen Dioxide,2020-07-11,6.9,6.1,6,4.3,3.3,2.9,1.3,1.3,1.7,1.7,1.3,0.7,0.7,1,0.8,0.6,0.4,0.5,0.8,1,2.1,2.5,3.4,3.9,
15026,Nitrogen Dioxide,2020-07-12,1.6,2.6,1.7,1.5,1.4,1.2,1.1,1,1,0.8,0.7,0.6,0.5,0.7,0.8,0.8,0.5,0.4,0.6,1,2.6,0.9,0.8,0.9,
15026,Nitrogen Dioxide,2020-07-13,1.2,4.9,6,9999,1.6,2.6,3.6,3,1.5,1.2,1.1,0.8,1,0.9,0.9,0.9,0.6,0.5,0.6,1.1,1.6,1.8,3.2,5,
15026,Nitrogen Dioxide,2020-07-14,3.6,1.8,1.7,2,4.2,4.3,5.3,5.4,2.2,1,0.9,1,0.8,0.8,0.8,0.8,0.6,0.6,1,1.7,4.1,5.2,7.2,6.3,
15026,Nitrogen Dioxide,2020-07-15,5.8,5.2,4.2,4.1,5.5,7.2,5.9,3.7,2.8,1.9,1.6,1.4,1.2,1.5,1.2,1,0.9,1.2,1.4,2.4,3.8,4.6,3.8,3.2,
15026,Nitrogen Dioxide,2020-07-16,2.3,3.9,2.7,3.2,4,5.8,6.6,6.9,8.5,7,5.6,4.1,2.7,2.5,3.8,4,2.9,1.7,2.1,2,1.4,1,1.1,0.7,
15026,Nitrogen Dioxide,2020-07-17,0.4,0.6,0.4,0.7,1.6,1.7,2.7,4.4,4.5,3.5,2.4,1.4,1,1.4,0.9,0.7,0.8,0.8,0.9,2.1,3.5,3.6,3.3,3.2,
15026,Nitrogen Dioxide,2020-07-18,3.7,5,4.6,4.6,4.1,5,4.1,2.7,2.4,1.8,1.2,1.2,1.4,1.2,1.2,1,1.3,1.2,1.4,1.8,2.2,2.7,2.2,2,
15026,Nitrogen Dioxide,2020-07-19,2.3,1.9,2.4,2.5,2.8,3.1,2.3,2.3,1.9,1.8,1.4,1.2,1.4,1.6,1.1,2,2,2.7,2.2,2.8,1.7,1.5,2.1,2.4,
15026,Nitrogen Dioxide,2020-07-20,2.3,2.4,2.6,9999,2,2.5,3,2.8,2.8,1.8,1.1,0.8,1,0.8,0.8,1.2,1.2,1.4,1.2,0.9,1.9,2.4,3.4,2.7,
15026,Nitrogen Dioxide,2020-07-21,2.7,1.5,1.8,2.2,3,2.6,3.9,3.8,3.5,4.2,2.8,2.9,3.1,2.6,1.9,1.3,1.1,0.8,1.1,1.9,3.2,5.1,5.5,7.9,
15026,Nitrogen Dioxide,2020-07-22,6,4.9,6.1,5.7,5.1,3.7,4.9,5.7,4.7,3.8,1.5,1.3,1.8,1.4,1.2,1.1,1.1,1.9,1.6,1.7,2,4.1,3.8,1.4,
15026,Nitrogen Dioxide,2020-07-23,1.7,3,3.6,4.4,7,5.9,6,8.3,3.5,2.4,1.6,1,0.8,0.8,0.8,0.7,0.6,0.5,0.9,1.9,3.5,4.8,2.5,4,
15026,Nitrogen Dioxide,2020-07-24,3.4,4.2,2.2,2.8,3.8,3.7,4.9,3.5,3.3,3,2.7,1.3,1.6,1.3,1.5,1.4,1,1,1,1.1,1.5,2.6,2.6,3.3,
15026,Nitrogen Dioxide,2020-07-25,3.6,3.9,4.6,3.9,3.1,2.1,3.1,5.2,1.9,0.6,0.6,0.5,0.5,0.5,0.5,0.7,0.6,0.6,1.2,2.3,3.2,3.3,2.9,2,
15026,Nitrogen Dioxide,2020-07-26,1.3,2.3,2.2,3.5,3.6,2.7,1.5,1.9,2.1,1.8,1.3,1.3,1.1,0.9,0.9,0.9,0.9,1,1.1,1.3,1.6,1.6,1.4,1.5,
15026,Nitrogen Dioxide,2020-07-27,1.5,3.3,4.4,9999,1.9,2.1,2.3,2.2,1.8,1.3,1.1,0.9,1.1,1,1.2,0.9,0.7,1.3,0.9,1.9,2.5,2.4,1.4,1,
15026,Nitrogen Dioxide,2020-07-28,1,1.7,2.7,1.1,1.6,2.9,3.8,3.1,3.2,3,2,0.9,0.6,0.6,0.9,1.8,1.3,1,1.4,2.1,2.6,5.1,6.9,5.1,
15026,Nitrogen Dioxide,2020-07-29,4,3.4,3.2,2.2,2.3,5.4,3.2,2.6,2.7,1.8,1.4,1.1,1.3,1.4,0.8,0.6,1.1,2,1.3,1.2,2.7,2.1,7.3,4.6,
15026,Nitrogen Dioxide,2020-07-30,2.9,3.8,3.7,3.7,3.4,2.8,6.3,6.6,1.8,0.9,0.7,0.4,0.7,0.5,0.4,0.5,0.3,0.9,0.8,1.4,4,4.2,4.6,3.5,
15026,Nitrogen Dioxide,2020-07-31,2.6,3,2.7,3,1.6,1.5,2.6,2.1,1.6,1.8,1.4,1.1,1.1,1.1,0.6,0.7,0.8,0.9,0.9,0.9,1.7,2.3,3.8,7.5,
15026,Nitrogen Dioxide,2020-08-01,7.2,4.9,5,3,2.7,3.4,3.4,2.4,3.5,1.2,0.9,0.9,0.4,0.4,0.7,1.2,1.2,1.5,1.7,2,1.9,1.2,1.1,0.8,
15026,Nitrogen Dioxide,2020-08-02,0.7,0.7,0.6,0.6,0.9,1.2,0.6,0.8,0.8,0.5,1,0.9,0.9,0.7,0.5,0.3,0,0.2,0,0.1,0.6,1,0.9,0.8,
15026,Nitrogen Dioxide,2020-08-03,0.6,2.2,2.6,9999,2.9,4.6,6.1,4.7,3.6,3,0.7,0.8,0.5,1,1,1.7,1.7,1.1,2.2,7.9,3,2.9,3.9,3.8,
15026,Nitrogen Dioxide,2020-08-04,4.3,4.5,6.2,6.4,5.8,4.2,5,5.9,4.5,2.6,1.6,0.9,0.8,0.7,0.6,0.4,0.2,0.3,0.3,0.3,0.5,0.6,1,0.3,
15026,Nitrogen Dioxide,2020-08-05,0.2,0.8,1.2,1.2,1.5,3.2,2.1,1.6,2.2,1,0.6,0.3,0.2,0.3,0.5,0.4,0.3,0.6,1.1,1.5,2.3,6.8,7.9,9.3,
15026,Nitrogen Dioxide,2020-08-06,7,6.5,7.3,6.1,5.9,5.2,5,8.7,5.4,3.2,2.4,2.1,1.7,1.6,1.4,1.3,1.2,0.9,0.9,1.2,2.6,4.2,6.5,5.5,
15026,Nitrogen Dioxide,2020-08-07,5.1,6.3,6.3,5.3,4.9,4.5,5.1,9.4,6.8,3.1,1.8,1.2,1.3,1.3,1.2,1.1,1.4,1.8,1.1,1.6,2.6,3.7,3.4,5.4,
15026,Nitrogen Dioxide,2020-08-08,3.6,5.2,4.5,6.4,6.5,4.7,3.1,6.4,5.3,1.5,0.5,0.5,0.5,0.6,0.9,0.8,0.9,0.9,0.9,1.1,2.2,2,1.5,1.7,
15026,Nitrogen Dioxide,2020-08-09,1.1,0.7,0.6,0.6,0.6,0.9,1.5,2.4,2.5,3.4,4.3,3.1,2.8,1.8,1,0.7,0.8,0.6,0.8,1.2,1.4,1.3,1,1.1,
15026,Nitrogen Dioxide,2020-08-10,1,2.2,3.5,9999,2.5,5.8,6.9,4.9,2.9,2,1.4,1.3,1.1,1.2,1.3,1.2,1,1,1.4,2.2,4.6,5.3,4.2,3.9,
15026,Nitrogen Dioxide,2020-08-11,7.6,4.2,2,1.6,1.7,2,2.6,2.4,2.5,1.7,1.4,1.1,1.3,0.8,1.1,0.9,0.5,0.4,0.5,1.7,2.6,5.7,7.8,9.8,
15026,Nitrogen Dioxide,2020-08-12,10.7,7.5,6.2,5.7,5.8,4.9,5.4,10.1,12.3,5.4,2.2,2,1.7,1.6,1.7,1.3,0.9,1,2.1,3.1,6.5,7.1,9.1,11.1,
15026,Nitrogen Dioxide,2020-08-13,6.7,5.6,5,4.8,4.2,3.6,4.7,5.9,6,5.1,2.8,1.4,1.2,1.1,1.6,1.6,1.9,2.1,2.5,4.4,5.1,4.2,5.9,5.5,
15026,Nitrogen Dioxide,2020-08-14,6.1,6.1,6.9,5.6,5,3.9,4,3.5,3.4,2.1,1.4,1,1,1.1,1.4,1.1,0.8,0.4,0.8,3.5,4,4.9,5.2,5.6,
15026,Nitrogen Dioxide,2020-08-15,4.9,4.3,4.3,4,4.1,4.6,5,4.2,2.7,1.9,1.7,1.6,1.3,1.2,1.2,2.3,0.8,0.9,1.3,2.4,4,3.5,3.8,1.3,
15026,Nitrogen Dioxide,2020-08-16,1.5,1.5,1.2,1.7,2.2,3,2.5,2.9,1.4,1.9,1.8,1.6,1.7,1.4,0.8,0.6,0.8,0.9,0.7,1.3,1.3,2.1,2,1.8,
15026,Nitrogen Dioxide,2020-08-17,2.4,2.2,2,9999,3.4,2.8,5.6,5.5,4.8,2.4,2,1.9,1.6,1,0.4,0.6,1.4,0.9,1.4,1.5,2,2.1,2.5,3.2,
15026,Nitrogen Dioxide,2020-08-18,2,2.3,1.8,2.6,2.4,2.1,1.8,3.6,2.1,0.5,0.6,0.4,0.9,0.7,0.7,0.4,0.2,0.3,0.5,1.4,1.5,2.6,2.5,3.1,
15026,Nitrogen Dioxide,2020-08-19,2.6,3.8,4,3.3,2.7,2.6,2.4,5.4,3.6,1.3,0.5,0.4,0.4,0.5,0.5,0.5,0.3,0.8,0.5,1.4,3.3,3,5.4,7.3,
15026,Nitrogen Dioxide,2020-08-20,7.4,5.8,4.1,4.7,4.3,4.4,5.6,10.7,7.6,1.8,0.9,0.8,0.8,1.3,1.5,0.9,1,0.8,1.2,2.5,2.3,2.5,1.9,2.4,
15026,Nitrogen Dioxide,2020-08-21,2.3,1.8,0.8,1.3,1.7,4,7,8,5.9,3.3,2.7,1.8,1.2,1,0.8,0.9,1.1,1.7,1.8,2.3,3.3,3.1,4.5,5,
15026,Nitrogen Dioxide,2020-08-22,2.8,3.4,4.9,5.6,6,5,5.1,5.7,4.1,1.9,0.6,0.5,0.5,0.6,0.7,0.7,0.7,0.7,1.1,2,3.6,5.4,5.5,4.6,
15026,Nitrogen Dioxide,2020-08-23,4.2,3.5,3.2,4.1,4.6,4.4,2.6,2.5,2.8,1.3,1.1,0.8,0.9,0.9,0.7,0.6,0.7,0.5,0.8,1.3,3.9,3.6,1.6,3,
15026,Nitrogen Dioxide,2020-08-24,3.4,0.8,3.3,9999,4.3,5.7,6.1,5.5,3.4,1.9,1.1,1,0.7,0.7,0.6,0.6,1.6,2.7,2.4,2.4,2.5,2.1,3.7,1.9,
15026,Nitrogen Dioxide,2020-08-25,2.3,4.9,4.5,5.4,4.3,3.2,4.7,3.4,2.5,1.2,1,0.7,0.7,0.5,0.4,0.4,0.5,0.2,0.6,2.4,2.3,2.3,3.6,4,
